"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2016","12.70","12.70","12.70","12.70","","2.09%"
"11/29/2016","12.44","12.44","12.44","12.44","","-2.51%"
"11/28/2016","12.76","12.76","12.76","12.76","","-0.16%"
"11/25/2016","12.78","12.78","12.78","12.78","","7.12%"
"11/23/2016","11.93","11.93","11.93","11.93","","-1.08%"
"11/22/2016","12.06","12.06","12.06","12.06","","-5.26%"
"11/21/2016","12.73","12.73","12.73","12.73","","-9.84%"
"11/18/2016","14.12","14.12","14.12","14.12","","-3.35%"
"11/17/2016","14.61","14.61","14.61","14.61","","0.90%"
"11/16/2016","14.48","14.48","14.48","14.48","","-2.56%"
"11/15/2016","14.86","14.86","14.86","14.86","","-10.37%"
"11/14/2016","16.58","16.58","16.58","16.58","","0.42%"
"11/11/2016","16.51","16.51","16.51","16.51","","-0.36%"
"11/10/2016","16.57","16.57","16.57","16.57","","19.47%"
"11/09/2016","13.87","13.87","13.87","13.87","","-15.43%"
"11/08/2016","16.40","16.40","16.40","16.40","","0.18%"
"11/07/2016","16.37","16.37","16.37","16.37","","-19.32%"
"11/04/2016","20.29","20.29","20.29","20.29","","1.50%"
"11/03/2016","19.99","19.99","19.99","19.99","","11.99%"
"11/02/2016","17.85","17.85","17.85","17.85","","2.65%"
"11/01/2016","17.39","17.39","17.39","17.39","","6.30%"
"10/31/2016","16.36","16.36","16.36","16.36","","1.05%"
"10/28/2016","16.19","16.19","16.19","16.19","","1.89%"
"10/27/2016","15.89","15.89","15.89","15.89","","17.01%"
"10/26/2016","13.58","13.58","13.58","13.58","","3.03%"
"10/25/2016","13.18","13.18","13.18","13.18","","4.19%"
"10/24/2016","12.65","12.65","12.65","12.65","","-8.33%"
"10/21/2016","13.80","13.80","13.80","13.80","","-3.63%"
"10/20/2016","14.32","14.32","14.32","14.32","","3.69%"
"10/19/2016","13.81","13.81","13.81","13.81","","-5.54%"
"10/18/2016","14.62","14.62","14.62","14.62","","-4.19%"
"10/17/2016","15.26","15.26","15.26","15.26","","-1.99%"
"10/14/2016","15.57","15.57","15.57","15.57","","-4.42%"
"10/13/2016","16.29","16.29","16.29","16.29","","11.65%"
"10/12/2016","14.59","14.59","14.59","14.59","","0.97%"
"10/11/2016","14.45","14.45","14.45","14.45","","3.29%"
"10/10/2016","13.99","13.99","13.99","13.99","","-0.71%"
"10/07/2016","14.09","14.09","14.09","14.09","","0.36%"
"10/06/2016","14.04","14.04","14.04","14.04","","9.18%"
"10/05/2016","12.86","12.86","12.86","12.86","","-5.72%"
"10/04/2016","13.64","13.64","13.64","13.64","","2.71%"
"10/03/2016","13.28","13.28","13.28","13.28","","-2.50%"
"09/30/2016","13.62","13.62","13.62","13.62","","-7.16%"
"09/29/2016","14.67","14.67","14.67","14.67","","19.46%"
"09/28/2016","12.28","12.28","12.28","12.28","","-3.31%"
"09/27/2016","12.70","12.70","12.70","12.70","","-10.12%"
"09/26/2016","14.13","14.13","14.13","14.13","","11.26%"
"09/23/2016","12.70","12.70","12.70","12.70","","0.95%"
"09/22/2016","12.58","12.58","12.58","12.58","","-1.56%"
"09/21/2016","12.78","12.78","12.78","12.78","","-13.12%"
"09/20/2016","14.71","14.71","14.71","14.71","","2.87%"
"09/19/2016","14.30","14.30","14.30","14.30","","0.42%"
"09/16/2016","14.24","14.24","14.24","14.24","","-6.56%"
"09/15/2016","15.24","15.24","15.24","15.24","","-4.87%"
"09/14/2016","16.02","16.02","16.02","16.02","","0.38%"
"09/13/2016","15.96","15.96","15.96","15.96","","13.84%"
"09/12/2016","14.02","14.02","14.02","14.02","","-14.62%"
"09/09/2016","16.42","16.42","16.42","16.42","","27.39%"
"09/08/2016","12.89","12.89","12.89","12.89","","14.68%"
"09/07/2016","11.24","11.24","11.24","11.24","","-4.50%"
"09/06/2016","11.77","11.77","11.77","11.77","","-6.14%"
"09/02/2016","12.54","12.54","12.54","12.54","","-9.13%"
"09/01/2016","13.80","13.80","13.80","13.80","","9.87%"
"08/31/2016","12.56","12.56","12.56","12.56","","2.11%"
"08/30/2016","12.30","12.30","12.30","12.30","","-0.16%"
"08/29/2016","12.32","12.32","12.32","12.32","","-7.44%"
"08/26/2016","13.31","13.31","13.31","13.31","","-3.41%"
"08/25/2016","13.78","13.78","13.78","13.78","","11.67%"
"08/24/2016","12.34","12.34","12.34","12.34","","7.59%"
"08/23/2016","11.47","11.47","11.47","11.47","","-0.69%"
"08/22/2016","11.55","11.55","11.55","11.55","","-1.62%"
"08/19/2016","11.74","11.74","11.74","11.74","","-7.05%"
"08/18/2016","12.63","12.63","12.63","12.63","","5.07%"
"08/17/2016","12.02","12.02","12.02","12.02","","-2.44%"
"08/16/2016","12.32","12.32","12.32","12.32","","6.02%"
"08/15/2016","11.62","11.62","11.62","11.62","","-1.86%"
"08/12/2016","11.84","11.84","11.84","11.84","","-3.74%"
"08/11/2016","12.30","12.30","12.30","12.30","","7.80%"
"08/10/2016","11.41","11.41","11.41","11.41","","1.88%"
"08/09/2016","11.20","11.20","11.20","11.20","","-1.06%"
"08/08/2016","11.32","11.32","11.32","11.32","","-3.50%"
"08/05/2016","11.73","11.73","11.73","11.73","","-6.31%"
"08/04/2016","12.52","12.52","12.52","12.52","","3.64%"
"08/03/2016","12.08","12.08","12.08","12.08","","-3.97%"
"08/02/2016","12.58","12.58","12.58","12.58","","6.52%"
"08/01/2016","11.81","11.81","11.81","11.81","","-0.67%"
"07/29/2016","11.89","11.89","11.89","11.89","","-8.61%"
"07/28/2016","13.01","13.01","13.01","13.01","","5.77%"
"07/27/2016","12.30","12.30","12.30","12.30","","-6.32%"
"07/26/2016","13.13","13.13","13.13","13.13","","0.15%"
"07/25/2016","13.11","13.11","13.11","13.11","","2.50%"
"07/22/2016","12.79","12.79","12.79","12.79","","-4.62%"
"07/21/2016","13.41","13.41","13.41","13.41","","11.66%"
"07/20/2016","12.01","12.01","12.01","12.01","","-3.46%"
"07/19/2016","12.44","12.44","12.44","12.44","","-2.43%"
"07/18/2016","12.75","12.75","12.75","12.75","","-1.09%"
"07/15/2016","12.89","12.89","12.89","12.89","","-4.31%"
"07/14/2016","13.47","13.47","13.47","13.47","","4.02%"
"07/13/2016","12.95","12.95","12.95","12.95","","0.54%"
"07/12/2016","12.88","12.88","12.88","12.88","","-3.09%"
"07/11/2016","13.29","13.29","13.29","13.29","","-1.48%"
"07/08/2016","13.49","13.49","13.49","13.49","","-12.35%"
"07/07/2016","15.39","15.39","15.39","15.39","","7.02%"
"07/06/2016","14.38","14.38","14.38","14.38","","-4.39%"
"07/05/2016","15.04","15.04","15.04","15.04","","2.10%"
"07/01/2016","14.73","14.73","14.73","14.73","","-7.01%"
"06/30/2016","15.84","15.84","15.84","15.84","","2.00%"
"06/29/2016","15.53","15.53","15.53","15.53","","-11.61%"
"06/28/2016","17.57","17.57","17.57","17.57","","-19.33%"
"06/27/2016","21.78","21.78","21.78","21.78","","-2.24%"
"06/24/2016","22.28","22.28","22.28","22.28","","37.79%"
"06/23/2016","16.17","16.17","16.17","16.17","","-11.59%"
"06/22/2016","18.29","18.29","18.29","18.29","","8.10%"
"06/21/2016","16.92","16.92","16.92","16.92","","1.32%"
